Generation,Squared average,Roulette average,10-Tourney average,RandomTourney average,Elite average,Random average,RandomTourney clones,Elite clones,Squared clones,Random clones,Roulette clones,10-Tourney clones,Squared diversity,Elite diversity,RandomTourney diversity,Roulette diversity,Random diversity,10-Tourney diversity,Elite max,RandomTourney max,Squared max,Roulette max,10-Tourney max,Random max,Roulette parentsAvg,RandomTourney parentsAvg,Elite parentsAvg,10-Tourney parentsAvg,Random parentsAvg,Squared parentsAvg,10-Tourney replacementAvg,Elite replacementAvg,Random replacementAvg,Squared replacementAvg,Roulette replacementAvg,RandomTourney replacementAvg,
0,27.635,27.635,27.635,27.635,27.635,27.635,0.0,0.0,0.0,0.0,0.0,0.0,0.8722,0.8722,0.8722,0.8722,0.8722,0.8722,43.131,43.131,43.131,43.131,43.131,43.131,30.332,29.075,30.597,36.562,26.823,30.207,33.931,33.931,33.931,33.931,33.931,33.931
1,30.380,30.702,34.321,30.634,31.569,29.768,0.0,2.0,3.0,2.0,2.0,10.0,0.7555,0.6722,0.7055,0.7277,0.7611,0.4722,43.131,43.305,43.131,43.131,43.131,43.131,28.644,27.156,30.597,37.148,28.510,27.460,33.931,33.931,33.931,33.931,33.931,33.931
2,29.047,30.444,34.391,29.326,31.110,29.904,3.0,3.0,1.0,2.0,3.0,10.0,0.7111,0.6722,0.7333,0.7055,0.7333,0.5333,43.131,43.131,43.131,43.305,43.131,43.131,27.835,28.524,30.597,36.225,27.343,30.216,33.931,33.931,33.931,33.931,33.931,33.931
3,31.265,29.470,34.503,29.977,31.359,29.508,4.0,1.0,3.0,3.0,1.0,7.0,0.7055,0.7833,0.6777,0.7555,0.7111,0.5833,43.131,43.131,45.324,43.131,43.131,43.131,29.840,31.196,30.597,36.703,28.144,32.156,33.931,33.931,33.931,33.931,33.931,33.931
4,32.044,30.803,35.195,31.290,31.345,30.193,3.0,0.0,2.0,2.0,5.0,10.0,0.6555,0.8111,0.6777,0.6722,0.7611,0.55,43.131,43.131,46.116,43.131,43.131,43.131,28.522,31.247,30.597,38.057,25.497,29.311,33.931,33.931,33.931,33.931,33.931,33.931
5,30.771,29.710,36.066,31.155,31.381,28.826,3.0,3.0,3.0,1.0,5.0,9.0,0.7055,0.6444,0.7333,0.6666,0.7611,0.5277,43.131,43.131,43.131,43.131,43.131,43.131,27.392,28.076,30.597,35.577,30.195,30.089,33.931,33.931,33.931,33.931,33.931,33.931
6,30.215,28.790,35.103,30.562,30.979,31.242,0.0,0.0,1.0,3.0,2.0,9.0,0.7611,0.7555,0.8444,0.7555,0.7611,0.5055,43.131,44.307,43.646,43.131,43.131,43.131,30.289,29.584,30.597,37.057,29.284,29.847,33.931,33.931,33.931,33.931,33.931,33.931
7,31.289,30.824,35.079,30.974,31.018,30.206,0.0,0.0,2.0,1.0,1.0,10.0,0.6888,0.7277,0.8444,0.6222,0.7611,0.5833,43.131,43.131,43.131,43.131,43.131,43.131,28.732,30.138,30.597,36.059,28.933,29.964,33.931,33.931,33.931,33.931,33.931,33.931
8,30.265,29.894,34.274,30.945,31.931,30.544,3.0,2.0,2.0,2.0,0.0,7.0,0.8166,0.6166,0.7055,0.7722,0.7222,0.5888,43.131,43.131,43.131,43.131,43.131,43.131,28.498,30.140,30.597,37.606,27.911,30.498,33.931,33.931,33.931,33.931,33.931,33.931
9,32.217,30.416,34.615,31.944,32.059,30.209,2.0,0.0,4.0,1.0,0.0,10.0,0.6666,0.7833,0.6666,0.7111,0.7333,0.5555,46.141,43.783,43.131,43.131,43.131,43.131,29.867,28.214,30.597,38.505,28.591,29.990,33.931,33.931,33.931,33.931,33.931,33.931
10,31.833,29.746,34.587,29.480,31.047,29.981,2.0,0.0,5.0,2.0,2.0,7.0,0.6777,0.7555,0.7888,0.75,0.7611,0.6111,43.131,43.131,43.131,43.131,43.131,43.131,28.866,28.175,30.597,38.114,27.351,30.099,33.931,33.931,33.931,33.931,33.931,33.931
11,30.788,30.618,35.390,29.001,31.599,30.116,1.0,1.0,1.0,1.0,1.0,8.0,0.8166,0.7833,0.7388,0.7833,0.6555,0.6111,43.131,43.131,43.131,43.131,43.131,43.131,29.077,30.209,30.597,38.376,27.728,30.142,33.931,33.931,33.931,33.931,33.931,33.931
12,31.344,30.458,35.747,30.761,31.251,30.078,5.0,0.0,1.0,0.0,5.0,7.0,0.7666,0.7277,0.7333,0.7055,0.7277,0.5833,43.131,43.131,43.131,43.131,43.131,43.131,29.553,29.700,30.597,37.661,27.031,29.414,33.931,33.931,33.931,33.931,33.931,33.931
13,30.256,30.608,35.404,31.130,31.642,29.656,9.0,0.0,2.0,2.0,1.0,12.0,0.7055,0.7555,0.5666,0.75,0.7611,0.5,43.131,43.131,43.131,43.131,43.131,43.131,27.702,29.086,30.597,37.247,29.441,28.331,33.931,33.931,33.931,33.931,33.931,33.931
14,31.125,30.351,35.002,30.393,30.986,30.171,3.0,1.0,1.0,2.0,1.0,5.0,0.7277,0.7555,0.7722,0.8277,0.7333,0.6388,43.131,43.131,43.131,43.131,43.783,43.131,29.801,28.489,30.597,38.122,26.180,28.996,33.931,33.931,33.931,33.931,33.931,33.931
15,30.887,31.078,34.639,29.959,31.170,29.587,1.0,0.0,2.0,1.0,0.0,4.0,0.6722,0.7,0.7722,0.7555,0.7333,0.7277,43.131,43.131,43.131,43.131,43.131,43.131,29.476,29.345,30.597,37.377,25.713,27.852,33.931,33.931,33.931,33.931,33.931,33.931
