Generation,elite average,elite clones,elite diversity,elite max,elite parentsAvg,roulette average,roulette clones,roulette diversity,roulette max,roulette parentsAvg,squared average,squared clones,squared diversity,squared max,squared parentsAvg,
42,31.731,6.0,0.3416,35.668,29.855,31.624,6.0,0.35,37.832,27.791,31.310,6.0,0.3333,32.641,27.937
43,32.163,6.0,0.3166,38.240,29.855,31.388,6.0,0.325,33.048,27.445,31.885,6.0,0.3333,38.065,28.976
44,31.941,6.0,0.35,34.494,29.855,31.992,6.0,0.325,41.064,27.412,31.006,6.0,0.3333,32.556,27.436
45,32.122,6.0,0.3583,36.888,29.855,31.809,6.0,0.3,43.274,27.875,32.189,6.0,0.3333,41.466,27.852
46,32.443,6.0,0.3333,43.568,29.855,31.986,6.0,0.3333,41.320,27.512,32.011,6.0,0.35,35.612,28.674
47,31.788,6.0,0.325,34.238,29.855,31.773,6.0,0.3333,33.493,27.848,31.937,6.0,0.325,37.065,28.325
48,32.697,6.0,0.35,39.413,29.855,31.469,6.0,0.3333,35.494,26.749,31.874,6.0,0.325,38.452,26.973
49,32.147,6.0,0.3416,36.110,29.855,31.235,6.0,0.35,32.556,28.545,31.047,6.0,0.3166,32.556,28.570
50,31.694,6.0,0.3416,34.264,29.855,31.068,6.0,0.3333,32.664,28.303,31.972,6.0,0.3333,46.810,28.753
51,33.041,6.0,0.3416,42.832,29.855,31.832,6.0,0.35,33.697,26.558,31.664,6.0,0.325,32.769,27.461
52,32.000,6.0,0.35,36.238,29.855,31.340,6.0,0.3416,35.894,26.457,31.860,6.0,0.3333,35.792,27.378
53,32.311,6.0,0.35,38.888,29.855,32.336,6.0,0.325,38.149,29.167,32.519,6.0,0.3333,40.566,29.167
54,32.346,6.0,0.3333,36.073,29.855,31.593,6.0,0.325,35.026,27.649,31.924,6.0,0.3416,35.847,27.925
55,31.883,6.0,0.325,39.777,29.855,31.582,6.0,0.3416,37.949,28.128,31.901,6.0,0.325,40.379,28.879
56,31.267,6.0,0.3083,32.695,29.855,31.616,6.0,0.325,33.567,28.756,31.457,6.0,0.35,35.161,29.025
